BJD - 2454833, Corrected Flux
1986.273193631, 0.998911189,
1986.293625834, 0.998741501,
1986.314057936, 0.998740467,
1986.334489938, 0.998926443,
1986.354922139, 0.998909005,
1986.375354240, 0.998657269,
1986.395786340, 0.998877465,
1986.416218440, 0.998882482,
1986.436650540, 0.998939238,
1986.457082639, 0.998831092,
1986.477514738, 0.998988821,
1986.497946836, 0.999043655,
1986.518378934, 0.999081321,
1986.538811132, 0.999040592,
1986.559243129, 0.999263003,
1986.579675226, 0.999335799,
1986.600107322, 0.999254636,
1986.620539418, 0.999239607,
1986.681835703, 0.999306976,
1986.702267898, 0.999334634,
1986.722699891, 0.999237799,
1986.743131985, 0.999162162,
1986.763564178, 0.999248664,
1986.783996171, 0.999127240,
1986.804428263, 0.999266011,
1986.824860455, 0.999287603,
1986.845292446, 0.999381673,
1986.865724537, 0.999364340,
1986.927020808, 0.999657670,
1986.947452997, 0.999567358,
1986.967885086, 0.999657300,
1986.988317074, 0.999782556,
1987.008749262, 0.999642550,
1987.029181350, 0.999590422,
1987.049613337, 0.999625021,
1987.070045525, 0.999769066,
1987.090477611, 0.999727170,
1987.110909797, 0.999848740,
1987.172206053, 0.999875114,
1987.192638037, 0.999767010,
1987.213070121, 0.999927417,
1987.233502305, 1.000066534,
1987.253934288, 1.000005926,
1987.274366371, 0.999839985,
1987.294798553, 1.000022504,
1987.315230535, 1.000030043,
1987.335662617, 1.000224917,
1987.376526779, 1.000225891,
1987.396958859, 1.000132948,
1987.417390939, 1.000170319,
1987.437823019, 1.000031288,
1987.458255098, 1.000149546,
1987.478687277, 1.000230635,
1987.499119255, 1.000387697,
1987.519551433, 1.000140750,
1987.539983511, 1.000338108,
1987.560415488, 1.000429883,
1987.580847665, 1.000375929,
1987.601279741, 1.000335528,
1987.662575968, 1.000285558,
1987.683007942, 1.000305916,
1987.703440117, 1.000423601,
1987.723872191, 1.000522319,
1987.744304264, 1.000582858,
1987.764736338, 1.000668247,
1987.785168410, 1.000932060,
1987.805600482, 1.000848145,
1987.846464626, 1.000846326,
1987.907760838, 1.000878558,
1987.928192908, 1.001169629,
1987.969057047, 1.000917442,
1987.989489215, 1.001186269,
1988.009921283, 1.001200980,
1988.030353251, 1.001391773,
1988.050785419, 1.001395522,
1988.071217486, 1.001143086,
1988.091649453, 1.001221038,
1988.112081619, 1.001328917,
1988.132513585, 1.001338442,
1988.152945650, 1.001383363,
1988.173377816, 1.003668260,
1988.193809780, 1.001391106,
1988.214241845, 1.001492116,
1988.234674009, 1.000987988,
1988.255105972, 0.996314283,
1988.275538035, 0.995002741,
1988.295970198, 0.994870699,
1988.316402261, 0.995180291,
1988.336834223, 0.995502963,
1988.398130406, 1.001762972,
1988.418562566, 1.001861294,
1988.459426786, 1.001768716,
1988.479858745, 1.001897871,
1988.500290804, 1.001841262,
1988.520722962, 1.002164338,
1988.541154920, 1.002092069,
1988.561586978, 1.002247719,
1988.582019135, 1.002047600,
1988.643315304, 1.002235503,
1988.663747260, 1.002221266,
1988.684179315, 1.002169147,
1988.704611470, 1.002258978,
1988.725043424, 1.002324224,
1988.745475478, 1.002130578,
1988.765907632, 1.002358434,
1988.786339685, 1.002370793,
1988.806771638, 1.002415628,
1988.929364047, 1.002814245,
1988.949796097, 1.002897736,
1988.970228047, 1.002938440,
1988.990660196, 1.002930940,
1989.011092245, 1.002932160,
1989.031524194, 1.003258311,
1989.051956342, 1.003230176,
1989.072388390, 1.003415704,
1989.092820337, 1.003159402,
1989.113252484, 1.003348595,
1989.133684531, 1.003272606,
1989.154116577, 1.003357439,
1989.174548623, 1.003357975,
1989.194980668, 1.003299721,
1989.215412713, 1.003353681,
1989.235844758, 1.003390123,
1989.256276802, 1.003491653,
1989.276708846, 1.003657924,
1989.297140990, 1.003490711,
1989.317572932, 1.003651528,
1989.378869060, 1.003433900,
1989.399301201, 1.003759913,
1989.419733242, 1.013833846,
1989.440165183, 1.003497542,
1989.460597323, 1.003883640,
1989.481029363, 1.003690095,
1989.501461303, 1.003848622,
1989.521893442, 1.003776190,
1989.542325481, 1.003827315,
1989.562757419, 1.003562714,
1989.583189558, 1.003692222,
1989.603621595, 1.003841880,
1989.624053532, 1.003651033,
1989.644485670, 1.003737969,
1989.664917706, 1.003803456,
1989.685349642, 1.003963134,
1989.705781778, 1.003698546,
1989.726213814, 1.003870936,
1989.746645748, 1.003695365,
1989.767077883, 1.004019577,
1989.807941851, 1.003861057,
1989.869238150, 1.003876184,
1989.889670083, 1.004043256,
1989.910102114, 1.004106555,
1989.930534246, 1.004017880,
1989.950966177, 1.003984497,
1989.971398208, 1.003966176,
1989.991830338, 1.004123661,
1990.012262268, 1.003927900,
1990.032694298, 1.004081909,
1990.053126427, 1.004204791,
1990.073558356, 1.004172394,
1990.093990385, 1.004217488,
1990.114422513, 1.004041153,
1990.134854540, 1.004176033,
1990.155286468, 1.004147995,
1990.175718595, 1.004206055,
1990.196150621, 1.004289470,
1990.216582547, 1.004062543,
1990.237014673, 1.004172129,
1990.257446699, 1.004220756,
1990.277878723, 1.004237850,
1990.298310748, 1.004123362,
1990.359606820, 1.004466118,
1990.380038743, 1.004393695,
1990.400470866, 1.004454859,
1990.441334811, 1.004479188,
1990.461766932, 1.004435220,
1990.482198953, 1.004539269,
1990.502630974, 1.004376572,
1990.523062995, 1.004471537,
1990.543495015, 1.004423004,
1990.604791073, 1.004498806,
1990.625223092, 1.004464260,
1990.645655210, 1.004516241,
1990.666087128, 1.004291095,
1990.686519145, 1.004316353,
1990.706951262, 1.004480458,
1990.727383179, 1.004611344,
1990.747815295, 1.004293977,
1990.768247312, 1.004465460,
1990.788679227, 1.004525107,
1990.849975272, 1.004505417,
1990.870407386, 1.004380926,
1990.890839400, 1.004461118,
1990.911271313, 1.004396125,
1990.931703426, 1.004483965,
1990.952135439, 1.004377230,
1990.972567451, 1.004424967,
1990.992999462, 1.004254988,
1991.013431474, 1.004376485,
1991.033863485, 1.004492165,
1991.054295496, 1.004555892,
1991.074727506, 1.004493843,
1991.095159416, 1.004584192,
1991.115591526, 1.004534370,
1991.136023535, 1.004649456,
1991.156455644, 1.004478244,
1991.176887553, 1.004438533,
1991.197319561, 1.004574718,
1991.217751668, 1.004529416,
1991.238183576, 1.004857754,
1991.258615583, 1.004749963,
1991.279047690, 1.004668169,
1991.340343707, 1.004722111,
1991.360775613, 1.004839445,
1991.381207617, 1.004833256,
1991.401639722, 1.004669560,
1991.422071626, 1.004784007,
1991.442503630, 1.004750417,
1991.462935733, 1.004760789,
1991.483367736, 1.004981917,
1991.503799639, 1.004895932,
1991.524231741, 1.004927320,
1991.544663743, 1.005026356,
1991.565095644, 1.004883393,
1991.585527745, 1.004995814,
1991.605959746, 1.004931303,
1991.626391846, 1.005054522,
1991.646823746, 1.005110013,
1991.667255746, 1.005208752,
1991.708119744, 1.005113691,
1991.748983741, 1.005175175,
1991.769415739, 1.005487070,
1991.810279733, 1.005400398,
1991.830711730, 1.005126960,
1991.851143726, 1.005309836,
1991.871575722, 1.005295044,
1991.892007718, 1.005259384,
1991.912439713, 1.005531859,
1991.932871708, 1.005187568,
1991.953303702, 1.005335066,
1991.973735697, 1.005376332,
1991.994167790, 1.005447113,
1992.014599684, 1.005644202,
1992.075895662, 1.005445509,
1992.096327754, 1.005559984,
1992.116759746, 1.005628398,
1992.137191637, 1.005463280,
1992.157623728, 1.005602758,
1992.178055718, 1.005669641,
1992.198487608, 1.005506692,
1992.218919698, 1.005735990,
1992.239351688, 1.005928924,
1992.259783577, 1.005784991,
1992.300647654, 1.006024151,
1992.321079642, 1.005796523,
1992.341511629, 1.006028340,
1992.361943616, 1.005857600,
1992.382375603, 1.005862925,
1992.402807590, 1.005873974,
1992.423239576, 1.005845748,
1992.443671662, 1.006066998,
1992.484535533, 1.006691424,
1992.504967617, 1.006102375,
1992.525399502, 1.006186276,
1992.545831485, 1.006197896,
1992.566263569, 1.006056508,
1992.586695452, 1.006273550,
1992.607127436, 1.006122507,
1992.647991400, 1.006241693,
1992.668423382, 1.006229766,
1992.688855464, 1.006290754,
1992.709287345, 1.006440426,
1992.729719326, 1.006322086,
1992.750151406, 1.006619437,
1992.811447345, 1.006505199,
1992.831879324, 1.006257623,
1992.852311303, 1.006561813,
1992.872743281, 1.006466124,
1992.893175259, 1.006375575,
1992.913607236, 1.006523266,
1992.934039214, 1.006556526,
1992.954471191, 1.006830205,
1992.974903267, 1.006890547,
1992.995335143, 1.006660014,
1993.015767119, 1.006709186,
1993.036199194, 1.006799864,
1993.056631070, 1.006846725,
1993.097495119, 1.007104612,
1993.117926993, 1.006897206,
1993.138358966, 1.006879560,
1993.158791040, 1.007089188,
1993.199654885, 1.007028754,
1993.240518829, 1.007086699,
1993.301814743, 1.007039884,
1993.322246813, 1.007056632,
1993.342678783, 1.007175455,
1993.363110653, 1.007134901,
1993.383542723, 1.007249725,
1993.403974692, 1.007189038,
1993.424406560, 1.007299190,
1993.444838629, 1.007074116,
1993.465270597, 1.007223306,
1993.485702465, 1.007154910,
1993.546998365, 1.007549259,
1993.567430432, 1.007440151,
1993.587862398, 1.007434360,
1993.608294263, 1.007458132,
1993.628726328, 1.007609970,
1993.649158293, 1.007647248,
1993.669590358, 1.007342294,
1993.710454186, 1.007556702,
1993.730886249, 1.007582114,
1993.751318112, 1.007521155,
1993.771750075, 1.007567655,
1993.792182138, 1.007673750,
1993.812614099, 1.007663791,
1993.833045961, 1.007699378,
1993.853478023, 1.007845914,
1993.873909984, 1.007871184,
1993.894341844, 1.007860416,
1993.914773905, 1.007715880,
1993.935205865, 1.007823991,
1993.955637725, 1.007673929,
1993.976069784, 1.007986451,
1994.037365660, 1.008009416,
1994.057797517, 1.007993810,
1994.078229575, 1.008142043,
1994.098661532, 1.008205013,
1994.119093389, 1.008062952,
1994.139525445, 1.008124655,
1994.159957402, 1.008080827,
1994.180389357, 1.008136860,
1994.200821313, 1.008210514,
1994.221253269, 1.008211835,
1994.282549132, 1.008324526,
1994.302981085, 1.008238074,
1994.323413039, 1.008120929,
1994.343844992, 1.008342027,
1994.364276945, 1.008119204,
1994.384708997, 1.008245134,
1994.405140849, 1.008257087,
1994.425572801, 1.008189581,
1994.446004852, 1.008387664,
1994.466436703, 1.007954895,
1994.486868754, 1.008313622,
1994.507300704, 1.008227056,
1994.527732554, 1.008194459,
1994.548164604, 1.008330531,
1994.568596553, 1.008490325,
1994.589028402, 1.008250774,
1994.609460451, 1.008324872,
1994.629892399, 1.008145031,
1994.650324347, 1.008289786,
1994.670756295, 1.008443199,
1994.691188242, 1.008199666,
1994.711620089, 1.008097376,
1994.772915928, 1.008277490,
1994.793347974, 1.008241013,
1994.813779919, 1.008330680,
1994.834211764, 1.008454194,
1994.854643808, 1.008158278,
1994.875075752, 1.008365258,
1994.895507796, 1.008368434,
1994.915939640, 1.008516226,
1994.936371583, 1.008538467,
1994.956803626, 1.008542179,
1995.018099452, 1.008408980,
1995.038531294, 1.008251231,
1995.079395276, 1.008404667,
1995.099827117, 1.008443613,
1995.120259057, 1.008494806,
1995.140691097, 1.008428428,
1995.161122936, 1.008501098,
1995.181554875, 1.008446993,
1995.201986914, 1.008284029,
1995.263282729, 1.008545796,
1995.283714666, 1.008516091,
1995.304146603, 1.008332534,
1995.324578540, 1.008453755,
1995.345010476, 1.008614327,
1995.365442413, 1.008264878,
1995.385874349, 1.008354319,
1995.406306284, 1.008330516,
1995.426738219, 1.008390247,
1995.447170154, 1.008193286,
1995.467602088, 1.008109460,
1995.488034023, 1.008138794,
1995.508465957, 1.008335500,
1995.549329823, 1.008179151,
1995.569761756, 1.008218584,
1995.590193689, 1.008156356,
1995.610625621, 1.008291049,
1995.631057553, 1.008141269,
1995.651489484, 1.008068525,
1995.671921415, 1.007873837,
1995.692353346, 1.008123305,
1995.753649136, 1.007979963,
1995.774081166, 1.008236464,
1995.794513095, 1.007831203,
1995.814944924, 1.007719399,
1995.855808881, 1.007856253,
1995.876240709, 1.007961624,
1995.896672736, 1.007808037,
1995.917104663, 1.007786185,
1995.937536490, 1.007502417,
1995.998832269, 1.007522747,
1996.019264295, 1.007474058,
1996.039696220, 1.007518337,
1996.060128145, 1.007420652,
1996.080560069, 1.007314082,
1996.100991993, 1.007197221,
1996.121423918, 1.005581895,
1996.141855841, 1.005335490,
1996.162287764, 1.001900123,
1996.182719687, 0.998920569,
1996.203151610, 0.998403487,
1996.223583532, 0.998151646,
1996.244015554, 0.998723593,
1996.264447376, 1.001023152,
1996.284879297, 1.004568831,
1996.305311318, 1.006879975,
1996.325743139, 1.006786570,
1996.346175059, 1.006662079,
1996.366607079, 1.006639802,
1996.387038899, 1.006527448,
1996.407470818, 1.006405627,
1996.427902837, 1.006398401,
1996.489198592, 1.006196895,
1996.509630410, 1.006075140,
1996.530062427, 1.006263035,
1996.550494345, 1.005982233,
1996.570926261, 1.006057382,
1996.591358178, 1.005847939,
1996.611790094, 1.005916518,
1996.632222010, 1.005698340,
1996.652653925, 1.005750563,
1996.673085841, 1.005605773,
1996.734381584, 1.005592309,
1996.754813498, 1.005529331,
1996.775245512, 1.005298681,
1996.795677325, 1.005227268,
1996.816109238, 1.005281154,
1996.836541250, 1.005126282,
1996.877404975, 1.005132668,
1996.897836886, 1.004939593,
1996.918268798, 1.004724780,
1996.979564530, 1.004582443,
1996.999996540, 1.004688695,
1997.020428349, 1.004656135,
1997.040860259, 1.004458751,
1997.061292268, 1.004329717,
1997.122587993, 1.004275756,
1997.143019901, 1.004247407,
1997.163451709, 1.003880612,
1997.224747429, 1.003698789,
1997.245179435, 1.003760944,
1997.265611341, 1.003758828,
1997.286043147, 1.003743667,
1997.306475152, 1.003574724,
1997.326907057, 1.003462262,
1997.347339062, 1.003550300,
1997.367770866, 1.003608584,
1997.388202770, 1.003221070,
1997.408634774, 1.003348442,
1997.429066577, 1.003064164,
1997.449498480, 1.003064484,
1997.469930483, 1.002852464,
1997.490362285, 1.002925931,
1997.510794188, 1.002724430,
1997.531226189, 1.002773024,
1997.551658091, 1.002853200,
1997.572089892, 1.002579075,
1997.612953694, 1.002380364,
1997.633385594, 1.002137399,
1997.653817594, 1.002183774,
1997.715113292, 1.001943359,
1997.735545090, 1.001992129,
1997.755977089, 1.001816020,
1997.776408987, 1.001992484,
1997.796840785, 1.001625363,
1997.817272782, 1.001792291,
1997.837704679, 1.001662467,
1997.858136476, 1.001384149,
1997.878568473, 1.001465048,
1997.899000369, 1.001353946,
1997.960296055, 1.001125324,
1997.980727950, 1.001070845,
1998.001159845, 1.000741208,
1998.021591739, 1.001121645,
1998.042023634, 1.001080886,
1998.062455627, 1.000743997,
1998.082887421, 1.000801284,
1998.103319414, 1.000662064,
1998.123751306, 1.000463173,
1998.144183099, 1.000482051,
1998.164615091, 1.000253801,
1998.185046983, 1.000213577,
